id,L,S,M_surface,M_tags,morph_expand
451,vyasta,vyastāḥ,vyasta,PNM,Case = Nominative; Gender = Masculine; Number = Plural
452,ca,ca,ca,,Note: Probably indeclinable
453,eva,eva,eva,,Note: Probably indeclinable
454,iha,iha,iha,,Note: Probably indeclinable
455,sat,sat,sat,Cp,Compound
456,guṇa,guṇāḥ,guṇa,PNM,Case = Nominative; Gender = Masculine; Number = Plural
457,iṣ,icchāmaḥ,iṣ,PPr1In,Mood = Indicative; Number = Plural; Person = 1; Tense = Present
458,guṇavat,guṇavat,guṇavat,SANe,Case = Accusative; Gender = Neuter; Number = Singular
459,madhya,madhye,madhya,SLNe,Case = Locative; Gender = Neuter; Number = Singular
460,vas,vastum,vas,In,Mood = Indicative
461,śreyas,śreyaḥ,śreyas,SANe,Case = Accusative; Gender = Neuter; Number = Singular
462,abhikāṅkṣin,abhikāṅkṣiṇaḥ,abhikāṅkṣin,PNM,Case = Nominative; Gender = Masculine; Number = Plural
463,yudhiṣṭhira,yudhiṣṭhiraḥ,yudhiṣṭhira,SNM,Case = Nominative; Gender = Masculine; Number = Singular
464,vac,uvāca,vac,SPs3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Past
465,dhanya,dhanyāḥ,dhanya,PNM,Case = Nominative; Gender = Masculine; Number = Plural
466,mad,vayam,mad,PN,Case = Nominative; Number = Plural
467,yat,yat,yat,,Note: Probably indeclinable
468,mad,asmākam,mad,PG,Case = Genitive; Number = Plural
469,sneha,sneha,sneha,Cp,Compound
470,kāruṇya,kāruṇya,kāruṇya,Cp,Compound
471,yantray,yantritāḥ,yantray,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
472,asat,asataḥ,asat,PAM,Case = Accusative; Gender = Masculine; Number = Plural
473,api,api,api,,Note: Probably indeclinable
474,guṇa,guṇān,guṇa,PAM,Case = Accusative; Gender = Masculine; Number = Plural
475,ah,āhuḥ,ah,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
476,brāhmaṇa,brāhmaṇa,brāhmaṇa,Cp,Compound
477,pramukha,pramukhāḥ,pramukha,PNF,Case = Nominative; Gender = Feminine; Number = Plural
478,prajā,prajāḥ,prajā,PNF,Case = Nominative; Gender = Feminine; Number = Plural
479,tad,tat,tad,SANe,Case = Accusative; Gender = Neuter; Number = Singular
480,mad,aham,mad,SN,Case = Nominative; Number = Singular
481,bhrātṛ,bhrātṛ,bhrātṛ,Cp,Compound
482,sahita,sahitaḥ,sahita,SNM,Case = Nominative; Gender = Masculine; Number = Singular
483,sarva,sarvān,sarva,PAM,Case = Accusative; Gender = Masculine; Number = Plural
484,vijñāpay,vijñāpayāmi,vijñāpay,SPr1In,Mood = Indicative; Number = Singular; Person = 1; Tense = Present
485,tvad,vaḥ,tvad,PA,Case = Accusative; Number = Plural
486,na,na,na,,Note: Probably indeclinable
487,anyathā,anyathā,anyathā,,Note: Probably indeclinable
488,tad,tat,tad,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
489,hi,hi,hi,,Note: Probably indeclinable
490,kṛ,kartavyam,kṛ,SNNeGd,Case = Nominative; Gender = Neuter; Number = Singular; VerbForm = Gerundive
491,mad,asmad,mad,Cp,Compound
492,sneha,sneha,sneha,Cp,Compound
493,anukampā,anukampayā,anukampā,SIF,Case = Instrumental; Gender = Feminine; Number = Singular
494,bhīṣma,bhīṣmaḥ,bhīṣma,SNM,Case = Nominative; Gender = Masculine; Number = Singular
495,pitāmaha,pitāmahaḥ,pitāmaha,SNM,Case = Nominative; Gender = Masculine; Number = Singular
496,rājan,rājā,rājan,SNM,Case = Nominative; Gender = Masculine; Number = Singular
497,vidura,viduraḥ,vidura,SNM,Case = Nominative; Gender = Masculine; Number = Singular
498,jananī,jananī,jananī,SNF,Case = Nominative; Gender = Feminine; Number = Singular
499,ca,ca,ca,,Note: Probably indeclinable
500,mad,me,mad,SG,Case = Genitive; Number = Singular
501,suhṛd,suhṛd,suhṛd,Cp,Compound
502,jana,janaḥ,jana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
503,ca,ca,ca,,Note: Probably indeclinable
504,prāyas,prāyas,prāyas,,Note: Probably indeclinable
505,mad,me,mad,SG,Case = Genitive; Number = Singular
506,nagara,nagare,nagara,SLNe,Case = Locative; Gender = Neuter; Number = Singular
507,nāgasāhvaya,nāgasāhvaye,nāgasāhvaya,SLNe,Case = Locative; Gender = Neuter; Number = Singular
508,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
509,tu,tu,tu,,Note: Probably indeclinable
510,mad,asmad,mad,Cp,Compound
511,hita,hita,hita,Cp,Compound
512,kāma,kāma,kāma,Cp,Compound
513,artha,artham,artha,SAM,Case = Accusative; Gender = Masculine; Number = Singular
514,pālay,pālanīyāḥ,pālay,PNMGd,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Gerundive
515,prayatna,prayatnataḥ,prayatna,SBM,Case = Ablative; Gender = Masculine; Number = Singular
516,tvad,yuṣmābhiḥ,tvad,PI,Case = Instrumental; Number = Plural
517,sahita,sahitaiḥ,sahita,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
518,sarva,sarvaiḥ,sarva,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
519,śoka,śoka,śoka,Cp,Compound
520,saṃtāpa,saṃtāpa,saṃtāpa,Cp,Compound
521,vihvala,vihvalāḥ,vihvala,PNF,Case = Nominative; Gender = Feminine; Number = Plural
522,nivṛt,nivartata,nivṛt,PPr2Im,Mood = Imperative; Number = Plural; Person = 2; Tense = Present
523,āgam,āgatāḥ,āgam,PNPaF,Case = Nominative; Gender = Feminine; Number = Plural; VerbForm = Part
524,dūram,dūram,dūram,,Note: Probably indeclinable
525,samāgamana,samāgamana,samāgamana,Cp,Compound
526,śāpay,śāpitāḥ,śāpay,PNPaF,Case = Nominative; Gender = Feminine; Number = Plural; VerbForm = Part
527,sva,sva,sva,Cp,Compound
528,jana,jane,jana,SLM,Case = Locative; Gender = Masculine; Number = Singular
529,nyāsa,nyāsa,nyāsa,Cp,Compound
530,bhū,bhūte,bhū,SLPaM,Case = Locative; Gender = Masculine; Number = Singular; VerbForm = Part
531,mad,me,mad,SG,Case = Genitive; Number = Singular
532,kṛ,kāryā,kṛ,SNFGd,Case = Nominative; Gender = Feminine; Number = Singular; VerbForm = Gerundive
533,sneha,sneha,sneha,Cp,Compound
534,anvita,anvitā,anvita,SNF,Case = Nominative; Gender = Feminine; Number = Singular
535,mati,matiḥ,mati,SNF,Case = Nominative; Gender = Feminine; Number = Singular
536,etad,etat,etad,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
537,hi,hi,hi,,Note: Probably indeclinable
538,mad,mama,mad,SG,Case = Genitive; Number = Singular
539,kārya,kāryāṇām,kārya,PGNe,Case = Genitive; Gender = Neuter; Number = Plural
540,parama,paramam,parama,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
541,hṛd,hṛdi,hṛd,SLNe,Case = Locative; Gender = Neuter; Number = Singular
542,saṃsthā,saṃsthitam,saṃsthā,SNPaNe,Case = Nominative; Gender = Neuter; Number = Singular; VerbForm = Part
543,su,su,su,,Note: Probably indeclinable
544,kṛ,kṛtā,kṛ,SNPaF,Case = Nominative; Gender = Feminine; Number = Singular; VerbForm = Part
545,idam,anena,idam,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
546,mad,me,mad,SG,Case = Genitive; Number = Singular
547,tuṣṭi,tuṣṭiḥ,tuṣṭi,SNF,Case = Nominative; Gender = Feminine; Number = Singular
548,satkāra,satkāraḥ,satkāra,SNM,Case = Nominative; Gender = Masculine; Number = Singular
549,ca,ca,ca,,Note: Probably indeclinable
550,bhū,bhaviṣyati,bhū,SFu3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Future
551,vaiśampāyana,vaiśaṃpāyanaḥ,vaiśampāyana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
552,vac,uvāca,vac,SPs3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Past
553,tathā,tathā,tathā,,Note: Probably indeclinable
554,anumantray,anumantritāḥ,anumantray,PNPaF,Case = Nominative; Gender = Feminine; Number = Plural; VerbForm = Part
555,tad,tena,tad,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
556,dharmarāja,dharmarājena,dharmarāja,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
557,tad,tāḥ,tad,PNF,Case = Nominative; Gender = Feminine; Number = Plural
558,prajā,prajāḥ,prajā,PNF,Case = Nominative; Gender = Feminine; Number = Plural
559,kṛ,cakruḥ,kṛ,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
560,ārta,ārta,ārta,Cp,Compound
561,svara,svaram,svara,SAM,Case = Accusative; Gender = Masculine; Number = Singular
562,ghora,ghoram,ghora,SAM,Case = Accusative; Gender = Masculine; Number = Singular
563,hā,hā,hā,,Note: Probably indeclinable
564,rājan,rājan,rājan,SVM,Case = Vocative; Gender = Masculine; Number = Singular
565,iti,iti,iti,,Note: Probably indeclinable
566,duḥkhita,duḥkhitāḥ,duḥkhita,PNF,Case = Nominative; Gender = Feminine; Number = Plural
567,guṇa,guṇān,guṇa,PAM,Case = Accusative; Gender = Masculine; Number = Plural
568,pārtha,pārthasya,pārtha,SGM,Case = Genitive; Gender = Masculine; Number = Singular
569,saṃsmṛ,saṃsmṛtya,saṃsmṛ,Co,Conjunction
570,duḥkha,duḥkha,duḥkha,Cp,Compound
571,ārta,ārtāḥ,ārta,PNM,Case = Nominative; Gender = Masculine; Number = Plural
572,parama,parama,parama,Cp,Compound
573,ātura,āturāḥ,ātura,PNM,Case = Nominative; Gender = Masculine; Number = Plural
574,akāma,akāmāḥ,akāma,PNM,Case = Nominative; Gender = Masculine; Number = Plural
575,saṃnivṛt,saṃnyavartanta,saṃnivṛt,P3ImIn,Mood = Imperative; Mood = Indicative; Number = Plural; Person = 3
576,samāgam,samāgamya,samāgam,Co,Conjunction
577,atha,atha,atha,,Note: Probably indeclinable
578,pāṇḍava,pāṇḍavān,pāṇḍava,PAM,Case = Accusative; Gender = Masculine; Number = Plural
579,nivṛt,nivṛtteṣu,nivṛt,PLPaM,Case = Locative; Gender = Masculine; Number = Plural; VerbForm = Part
580,tu,tu,tu,,Note: Probably indeclinable
581,paura,paureṣu,paura,PLM,Case = Locative; Gender = Masculine; Number = Plural
582,ratha,rathān,ratha,PAM,Case = Accusative; Gender = Masculine; Number = Plural
583,āsthā,āsthāya,āsthā,Co,Conjunction
584,pāṇḍava,pāṇḍavāḥ,pāṇḍava,PNM,Case = Nominative; Gender = Masculine; Number = Plural
585,pragam,prajagmuḥ,pragam,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
586,jāhnavī,jāhnavī,jāhnavī,Cp,Compound
587,tīra,tīre,tīra,SLNe,Case = Locative; Gender = Neuter; Number = Singular
588,pramāṇa,pramāṇa,pramāṇa,Cp,Compound
589,ākhyā,ākhyam,ākhyā,SAM,Case = Accusative; Gender = Masculine; Number = Singular
590,mahat,mahā,mahat,Cp,Compound
591,vaṭa,vaṭam,vaṭa,SAM,Case = Accusative; Gender = Masculine; Number = Singular
592,tad,tam,tad,SAM,Case = Accusative; Gender = Masculine; Number = Singular
593,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
594,divasa,divasa,divasa,Cp,Compound
595,śeṣa,śeṣeṇa,śeṣa,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
596,vaṭa,vaṭam,vaṭa,SAM,Case = Accusative; Gender = Masculine; Number = Singular
597,gam,gatvā,gam,Co,Conjunction
598,tu,tu,tu,,Note: Probably indeclinable
599,pāṇḍava,pāṇḍavāḥ,pāṇḍava,PNM,Case = Nominative; Gender = Masculine; Number = Plural
600,vas,ūṣuḥ,vas,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
601,tad,tām,tad,SAF,Case = Accusative; Gender = Feminine; Number = Singular
602,rajanī,rajanīm,rajanī,SAF,Case = Accusative; Gender = Feminine; Number = Singular
603,vīra,vīrāḥ,vīra,PNM,Case = Nominative; Gender = Masculine; Number = Plural
604,saṃspṛś,saṃspṛśya,saṃspṛś,Co,Conjunction
605,salila,salilam,salila,SANe,Case = Accusative; Gender = Neuter; Number = Singular
606,śuci,śuci,śuci,SANe,Case = Accusative; Gender = Neuter; Number = Singular
607,udaka,udakena,udaka,SINe,Case = Instrumental; Gender = Neuter; Number = Singular
608,eva,eva,eva,,Note: Probably indeclinable
609,tad,tām,tad,SAF,Case = Accusative; Gender = Feminine; Number = Singular
610,rātri,rātrim,rātri,SAF,Case = Accusative; Gender = Feminine; Number = Singular
611,vas,ūṣuḥ,vas,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
612,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
613,duḥkha,duḥkha,duḥkha,Cp,Compound
614,karśay,karśitāḥ,karśay,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
615,anugam,anujagmuḥ,anugam,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
616,ca,ca,ca,,Note: Probably indeclinable
617,tatra,tatra,tatra,,Note: Probably indeclinable
618,etad,etān,etad,PAM,Case = Accusative; Gender = Masculine; Number = Plural
619,sneha,snehāt,sneha,SBM,Case = Ablative; Gender = Masculine; Number = Singular
620,kaścit,ke,kaścit,PNM,Case = Nominative; Gender = Masculine; Number = Plural
621,cit,cid,cit, ,Note: Probably indeclinable
622,dvijāti,dvijātayaḥ,dvijāti,PNM,Case = Nominative; Gender = Masculine; Number = Plural
623,sa,sa,sa,,Note: Probably indeclinable
624,agni,agnayaḥ,agni,PNM,Case = Nominative; Gender = Masculine; Number = Plural
625,an,an,an,,Note: Probably indeclinable
626,agni,agnayaḥ,agni,PNM,Case = Nominative; Gender = Masculine; Number = Plural
627,ca,ca,ca,,Note: Probably indeclinable
628,eva,eva,eva,,Note: Probably indeclinable
629,sa,sa,sa,,Note: Probably indeclinable
630,śiṣya,śiṣya,śiṣya,Cp,Compound
631,gaṇa,gaṇa,gaṇa,Cp,Compound
632,bāndhava,bāndhavāḥ,bāndhava,PNM,Case = Nominative; Gender = Masculine; Number = Plural
633,tad,sa,tad,SNM,Case = Nominative; Gender = Masculine; Number = Singular
634,tad,taiḥ,tad,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
635,parivṛ,parivṛtaḥ,parivṛ,SNPaM,Case = Nominative; Gender = Masculine; Number = Singular; VerbForm = Part
636,rājan,rājā,rājan,SNM,Case = Nominative; Gender = Masculine; Number = Singular
637,śubh,śuśubhe,śubh,SPs3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Past
638,brahman,brahma,brahman,Cp,Compound
639,vādin,vādibhiḥ,vādin,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
640,tad,teṣām,tad,PGM,Case = Genitive; Gender = Masculine; Number = Plural
641,prāduṣkṛ,prāduṣkṛta,prāduṣkṛ,PaCp,Compound; VerbForm = Part
642,agni,agnīnām,agni,PGM,Case = Genitive; Gender = Masculine; Number = Plural
643,muhūrta,muhūrte,muhūrta,SLNe,Case = Locative; Gender = Neuter; Number = Singular
644,ramya,ramya,ramya,Cp,Compound
645,dāruṇa,dāruṇe,dāruṇa,SLNe,Case = Locative; Gender = Neuter; Number = Singular
646,brahmaghoṣa,brahmaghoṣa,brahmaghoṣa,Cp,Compound
647,puraskāra,puraskāraḥ,puraskāra,SNM,Case = Nominative; Gender = Masculine; Number = Singular
648,saṃjalpa,saṃjalpaḥ,saṃjalpa,SNM,Case = Nominative; Gender = Masculine; Number = Singular
649,saṃjan,samajāyata,saṃjan,S3ImIn,Mood = Imperative; Mood = Indicative; Number = Singular; Person = 3
650,rājan,rājānam,rājan,SAM,Case = Accusative; Gender = Masculine; Number = Singular
651,tu,tu,tu,,Note: Probably indeclinable
652,kuru,kuru,kuru,Cp,Compound
653,śreṣṭha,śreṣṭham,śreṣṭha,SAM,Case = Accusative; Gender = Masculine; Number = Singular
654,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
655,haṃsa,haṃsa,haṃsa,Cp,Compound
656,madhura,madhura,madhura,Cp,Compound
657,svara,svarāḥ,svara,PNM,Case = Nominative; Gender = Masculine; Number = Plural
658,āśvāsay,āśvāsayantaḥ,āśvāsay,PNPaPrM,Case = Nominative; Gender = Masculine; Number = Plural; Tense = Present; VerbForm = Part
659,vipra,vipra,vipra,Cp,Compound
660,agrya,agryāḥ,agrya,PNM,Case = Nominative; Gender = Masculine; Number = Plural
661,kṣapā,kṣapām,kṣapā,SAF,Case = Accusative; Gender = Feminine; Number = Singular
662,sarva,sarvām,sarva,SAF,Case = Accusative; Gender = Feminine; Number = Singular
663,vinoday,vyanodayan,vinoday,P3ImIn,Mood = Imperative; Mood = Indicative; Number = Plural; Person = 3
664,rājan,rājā,rājan,SNM,Case = Nominative; Gender = Masculine; Number = Singular
665,tu,tu,tu,,Note: Probably indeclinable
666,bhrātṛ,bhrātṛbhiḥ,bhrātṛ,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
667,sārdham,sārdham,sārdham,,Note: Probably indeclinable
668,tathā,tathā,tathā,,Note: Probably indeclinable
669,sarva,sarvaiḥ,sarva,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
670,suhṛd,suhṛd,suhṛd,Cp,Compound
671,gaṇa,gaṇaiḥ,gaṇa,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
672,śī,aśeta,aś,S3ImIn,Mood = Imperative; Mood = Indicative; Number = Singular; Person = 3
673,tad,tām,tad,SAF,Case = Accusative; Gender = Feminine; Number = Singular
674,niśā,niśām,niśā,SAF,Case = Accusative; Gender = Feminine; Number = Singular
675,rājan,rājā,rājan,SNM,Case = Nominative; Gender = Masculine; Number = Singular
676,duḥkha,duḥkha,duḥkha,Cp,Compound
677,śoka,śoka,śoka,Cp,Compound
678,samāhan,samāhataḥ,samāhan,SNPaM,Case = Nominative; Gender = Masculine; Number = Singular; VerbForm = Part
